Repository,AI_Score,Pre_Avg_MI,Pre_Median_MI,Pre_StdDev_MI,Post_Avg_MI,Post_Median_MI,Post_StdDev_MI,MI_Change_Percent
Chia-Network/chia-blockchain,2,61.89782372145081,60.17224463078736,28.690406541615253,56.49482454221437,53.9115668619602,28.12449502463998,-8.728900071754895
Kludex/starlette,3,57.692722441773874,54.22571535252695,25.540956153741465,52.4742210987391,53.58662413343305,21.716393579690877,-9.045337301080778
yzhao062/pyod,3,69.16600066750685,61.383553702018936,18.79418802366436,62.52503793719376,58.14702088346805,20.03949942876461,-9.601484351014264
sshuttle/sshuttle,3,54.29052642776867,49.13147353467086,25.7272301477722,49.03628962331177,44.81688550123485,23.611546441929526,-9.677999367803974
pypa/pipx,3,65.24202315184465,61.22126663746791,20.887377387322424,58.64530533993212,54.01778924878041,21.2247003432333,-10.111148448844526
spotDL/spotify-downloader,5,75.37073498587404,72.88305125101206,19.25295137091501,66.33086559540348,63.42554855979416,22.059055557654844,-11.993871881659118
icloud-photos-downloader/icloud_photos_downloader,5,79.6642498027289,83.22735471547875,19.49952778365744,69.38616791235991,63.98896859201538,25.799253706397785,-12.901749424391012
commaai/openpilot,7,63.42645686406677,60.44298245853346,19.936455608438305,55.18729362726049,54.23074582949288,20.42095059730127,-12.990104830329956
laramies/theHarvester,3,64.12844400166883,59.672088881799525,19.608262453851648,55.26576609685035,55.52650870664343,17.001644679552122,-13.820197952390426
ArchiveBox/ArchiveBox,5,66.94460417107254,69.62219561226509,21.392809718161555,57.660053015686906,54.02159230361065,28.60827176564557,-13.869005979420798
keon/algorithms,3,70.40670088230691,67.40020920632249,16.08711214867214,59.98192219085114,58.41712712855393,15.136928207148951,-14.806514949311442
NVIDIA-NeMo/NeMo,10,74.59366936089033,78.92975743521586,22.78323561148329,63.29679681870205,63.574525427423794,27.910929647697756,-15.1445459634558
